Redewendung	sort_order	id	re1	re2	n_cum_1	n_seq_1	n_ic_cum_1	n_ic_seq_1	n_cum_2	n_seq_2	n_ic_cum_2	n_ic_seq_2	n_manual	n_manual_cmt	n_final	link
jemandem auf der Tasche liegen	1422	1422	auf der Tasche + LIEGEN		8	9 -> 8	8	9 -> 8							8	https://de.wiktionary.org/wiki/jemandem_auf_der_Tasche_liegen
jemandem auf der Zunge liegen	1423	1423	auf der Zunge + LIEGEN		8	44 -> 8	9	44 -> 9							8	https://de.wiktionary.org/wiki/jemandem_auf_der_Zunge_liegen
jemandem auf die Finger klopfen	1424	1424	auf die Finger + klopf		5	33 -> 5	5	33 -> 5							5	https://de.wiktionary.org/wiki/jemandem_auf_die_Finger_klopfen
jemandem auf die Füße treten	1425	1425	auf die Füße + TRETEN		15	55 -> 15	15	55 -> 15							15	https://de.wiktionary.org/wiki/jemandem_auf_die_F%C3%BC%C3%9Fe_treten
jemandem auf die Hühneraugen treten	1426	1426	auf die Hühneraugen + TRETEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/jemandem_auf_die_H%C3%BChneraugen_treten
jemandem auf die Schliche kommen	1427	1427	auf die Schliche + KOMMEN		69	72 -> 69	70	72 -> 70							69	https://de.wiktionary.org/wiki/jemandem_auf_die_Schliche_kommen
jemandem auf die Schulter klopfen	1428	1428	auf die Schulter + klopf		27	60 -> 27	30	60 -> 30							27	https://de.wiktionary.org/wiki/jemandem_auf_die_Schulter_klopfen
jemandem auf die Sprünge helfen	1429	1429	auf die Sprünge + HELFEN		58	60 -> 58	59	60 -> 59							58	https://de.wiktionary.org/wiki/jemandem_auf_die_Spr%C3%BCnge_helfen
jemandem aufs Dach steigen	1430	1430	aufs Dach + STEIGEN		9	39 -> 9	9	39 -> 9							9	https://de.wiktionary.org/wiki/jemandem_aufs_Dach_steigen
jemandem aus der Hand fressen	1431	1431	aus der Hand + FRESSEN		3	235 -> 3	3	235 -> 3							3	https://de.wiktionary.org/wiki/jemandem_aus_der_Hand_fressen
jemandem aus der Patsche helfen	1432	1432	aus der Patsche + HELFEN	aus der Klemme + HELFEN	20	20 -> 20	20	20 -> 20	3	4 -> 3	3	4 -> 3			20	https://de.wiktionary.org/wiki/jemandem_aus_der_Patsche_helfen
jemandem Avancen machen	1433	1433	Avancen + MACHEN		20	62 -> 20	21	62 -> 21							20	https://de.wiktionary.org/wiki/jemandem_Avancen_machen
jemandem Bescheid geben	1434	1434	Bescheid + GEBEN		42	460 -> 42	49	478 -> 49							42	https://de.wiktionary.org/wiki/jemandem_Bescheid_geben
jemandem bleibt der Bissen im Hals stecken	1435	1435	der Bissen +  im Hals		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/jemandem_bleibt_der_Bissen_im_Hals_stecken
jemandem bleibt die Sprache weg	1436	1436	die Sprache + \bweg(\b|b|z|g) + _BLEIBEN		1	590 -> 3 -> 1	1	591 -> 4 -> 1							1	https://de.wiktionary.org/wiki/jemandem_bleibt_die_Sprache_weg
jemandem bleibt die Spucke weg	1437	1437	die Spucke + \bweg(\b|b|z|g) + _BLEIBEN		4	7 -> 4 -> 4	5	8 -> 5 -> 5							4	https://de.wiktionary.org/wiki/jemandem_bleibt_die_Spucke_weg
jemandem Brief und Siegel geben	1438	1438	Brief und Siegel + GEBEN		0	2 -> 0	0	2 -> 0							0	https://de.wiktionary.org/wiki/jemandem_Brief_und_Siegel_geben
jemandem böhmische Dörfer sein	1439	1439	böhmische Dörfer + SEIN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/jemandem_b%C3%B6hmische_D%C3%B6rfer_sein
jemandem Dampf machen	1440	1440	Dampf + MACHEN		33	290 -> 33	33	293 -> 33							33	https://de.wiktionary.org/wiki/jemandem_Dampf_machen
jemandem das Fell gerben	1441	1441	das Fell + gerb		0	136 -> 0	0	136 -> 0							0	https://de.wiktionary.org/wiki/jemandem_das_Fell_gerben
jemandem das Fell über die Ohren ziehen	1442	1442	das Fell + über die Ohren + ZIEHEN		4	136 -> 4 -> 4	4	136 -> 4 -> 4							4	https://de.wiktionary.org/wiki/jemandem_das_Fell_%C3%BCber_die_Ohren_ziehen
jemandem das Gas abdrehen	1443	1443	das Gas + \bab(\b|d|z|g) + dreh		6	163 -> 15 -> 6	6	164 -> 15 -> 6							6	https://de.wiktionary.org/wiki/jemandem_das_Gas_abdrehen
jemandem das Hackl ins Kreuz hauen	1444	1444	das Hackl ins Kreuz + HAUEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/jemandem_das_Hackl_ins_Kreuz_hauen
jemandem das Hackl ins Kreuz werfen	1445	1445	das Hackl ins Kreuz + WERFEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/jemandem_das_Hackl_ins_Kreuz_werfen
jemandem das Handwerk legen	1446	1446	das Handwerk + LEGEN		71	233 -> 71	71	233 -> 71							71	https://de.wiktionary.org/wiki/jemandem_das_Handwerk_legen
jemandem das Herz abdrücken	1447	1447	das Herz + \bab(\b|d|z|g) + drück		0	553 -> 10 -> 0	0	553 -> 12 -> 0							0	https://de.wiktionary.org/wiki/jemandem_das_Herz_abdr%C3%BCcken
jemandem das Herz brechen	1448	1448	das Herz + BRECHEN + MANUAL_REVIEW		45	553 -> 45 -> 45	45	553 -> 45 -> 45							45	https://de.wiktionary.org/wiki/jemandem_das_Herz_brechen
jemandem das Kraut ausschütten	1449	1449	das Kraut + \baus(\b|s|z|g) + schütte		0	19 -> 5 -> 0	0	19 -> 5 -> 0							0	https://de.wiktionary.org/wiki/jemandem_das_Kraut_aussch%C3%BCtten
jemandem das letzte Geleit geben	1450	1450	das letzte Geleit + GEBEN		4	6 -> 4	4	6 -> 4							4	https://de.wiktionary.org/wiki/jemandem_das_letzte_Geleit_geben
jemandem das Ohr abkauen	1451	1451	das Ohr + \bab(\b|k|z|g) + KAUEN		0	42 -> 2 -> 0	0	43 -> 2 -> 0							0	https://de.wiktionary.org/wiki/jemandem_das_Ohr_abkauen
jemandem das Salz in der Suppe nicht gönnen	1452	1452	das Salz in der Suppe + nicht + gönn		0	10 -> 1 -> 0	0	10 -> 1 -> 0							0	https://de.wiktionary.org/wiki/jemandem_das_Salz_in_der_Suppe_nicht_g%C3%B6nnen
jemandem das Wasser abgraben	1453	1453	das Wasser + \bab(\b|z|g) + _GRABEN		21	1489 -> 134 -> 21	24	1490 -> 139 -> 24							21	https://de.wiktionary.org/wiki/jemandem_das_Wasser_abgraben
jemandem den Buckel runterrutschen	1454	1454	den Buckel + \brunter(\b|r|z|g) + rutsch		0	4 -> 1 -> 0	0	4 -> 1 -> 0							0	https://de.wiktionary.org/wiki/jemandem_den_Buckel_runterrutschen
jemandem den Garaus machen	1455	1455	den Garaus + MACHEN		42	42 -> 42	42	42 -> 42							42	https://de.wiktionary.org/wiki/jemandem_den_Garaus_machen
jemandem den Geldhahn abdrehen	1456	1456	den Geldhahn + \bab(\b|d|z|g) + dreh		5	34 -> 5 -> 5	7	34 -> 7 -> 7							5	https://de.wiktionary.org/wiki/jemandem_den_Geldhahn_abdrehen
jemandem den Hals abdrehen	1457	1457	den Hals + \bab(\b|d|z|g) + dreh		1	264 -> 9 -> 1	1	264 -> 9 -> 1							1	https://de.wiktionary.org/wiki/jemandem_den_Hals_abdrehen
jemandem den Hof machen	1458	1458	den Hof + MACHEN		21	248 -> 21	23	248 -> 23							21	https://de.wiktionary.org/wiki/jemandem_den_Hof_machen
jemandem den Kopf verdrehen	1459	1459	den Kopf + verdreh		32	1655 -> 32	32	1659 -> 32							32	https://de.wiktionary.org/wiki/jemandem_den_Kopf_verdrehen
jemandem den Laufpass geben	1460	1460	den Laufpass + GEBEN	den Laufpass + BEKOMMEN	14	17 -> 14	14	17 -> 14	2	17 -> 2	2	17 -> 2			14	https://de.wiktionary.org/wiki/jemandem_den_Laufpass_geben
jemandem den Leviten lesen	1461	1461	den Leviten + LESEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/jemandem_den_Leviten_lesen
jemandem den Marsch blasen	1462	1462	den Marsch + BLASEN		10	44 -> 10	10	44 -> 10							10	https://de.wiktionary.org/wiki/jemandem_den_Marsch_blasen
jemandem den Mund verbieten	1463	1463	den Mund + VERBIETEN		16	395 -> 16	16	395 -> 16							16	https://de.wiktionary.org/wiki/jemandem_den_Mund_verbieten
jemandem den Rücken freihalten	1464	1464	den Rücken + \bfrei(\b|h|z|g) + _HALTEN		33	698 -> 36 -> 33	33	699 -> 39 -> 33							33	https://de.wiktionary.org/wiki/jemandem_den_R%C3%BCcken_freihalten
jemandem den Rücken stärken	1465	1465	den Rücken + stärk		130	698 -> 130	133	699 -> 133							130	https://de.wiktionary.org/wiki/jemandem_den_R%C3%BCcken_st%C3%A4rken
jemandem den Schwarzen Peter zuschieben	1466	1466	den Schwarzen Peter + \bzu(\b|s|z|g) + _SCHIEBEN		8	16 -> 10 -> 8	14	28 -> 18 -> 14							8	https://de.wiktionary.org/wiki/jemandem_den_Schwarzen_Peter_zuschieben
jemandem den Schwarzen Peter zuspielen	1467	1467	den Schwarzen Peter + \bzu(\b|s|z|g) + spiel		0	16 -> 10 -> 0	0	28 -> 18 -> 0							0	https://de.wiktionary.org/wiki/jemandem_den_Schwarzen_Peter_zuspielen
jemandem den Vogel zeigen	1468	1468	den Vogel + ZEIGEN		7	68 -> 7	7	68 -> 7							7	https://de.wiktionary.org/wiki/jemandem_den_Vogel_zeigen
jemandem den Wind aus den Segeln nehmen	1469	1469	den Wind aus den Segeln + NEHMEN		24	24 -> 24	24	24 -> 24							24	https://de.wiktionary.org/wiki/jemandem_den_Wind_aus_den_Segeln_nehmen
jemandem den Zahn ziehen	1470	1470	den Zahn + ZIEHEN		6	53 -> 6	6	53 -> 6							6	https://de.wiktionary.org/wiki/jemandem_den_Zahn_ziehen
jemandem die Butter vom Brot nehmen	1471	1471	die Butter + vom Brot + NEHMEN		13	60 -> 13 -> 13	13	60 -> 13 -> 13							13	https://de.wiktionary.org/wiki/jemandem_die_Butter_vom_Brot_nehmen
jemandem die Daumen drücken	1472	1472	die Daumen + drück		110	137 -> 110	117	137 -> 117							110	https://de.wiktionary.org/wiki/jemandem_die_Daumen_dr%C3%BCcken
jemandem die Flötentöne beibringen	1473	1473	die Flötentöne + \bbei(\b|b|z|g) + _BRINGEN		0	0 -> 0 -> 0	0	0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/jemandem_die_Fl%C3%B6tent%C3%B6ne_beibringen
jemandem die Fresse polieren	1474	1474	die Fresse + polier		2	32 -> 2	2	33 -> 2							2	https://de.wiktionary.org/wiki/jemandem_die_Fresse_polieren
jemandem die Füße küssen	1475	1475	die Füße + küss		5	336 -> 5	5	336 -> 5							5	https://de.wiktionary.org/wiki/jemandem_die_F%C3%BC%C3%9Fe_k%C3%BCssen
jemandem die Gurgel abdrehen	1476	1476	die Gurgel + \bab(\b|d|z|g) + dreh		0	15 -> 0 -> 0	0	15 -> 0 -> 0							0	https://de.wiktionary.org/wiki/jemandem_die_Gurgel_abdrehen
jemandem die Hammelbeine lang ziehen	1477	1477	die Hammelbeine + lang + ZIEHEN		0	0 -> 0 -> 0	0	0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/jemandem_die_Hammelbeine_lang_ziehen
jemandem die Hammelbeine langziehen	1478	1478	Hammelbeine + \blang(\b|z|z|g) + _ZIEHEN		0	0 -> 0 -> 0	0	0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/jemandem_die_Hammelbeine_langziehen
jemandem die Hörner aufsetzen	1479	1479	die Hörner + \bauf(\b|s|z|g) + _SETZEN		0	36 -> 7 -> 0	0	36 -> 7 -> 0							0	https://de.wiktionary.org/wiki/jemandem_die_H%C3%B6rner_aufsetzen
jemandem die Hörner zeigen	1480	1480	die Hörner + ZEIGEN		3	36 -> 3	3	36 -> 3							3	https://de.wiktionary.org/wiki/jemandem_die_H%C3%B6rner_zeigen
jemandem die kalte Schulter zeigen	1481	1481	die kalte Schulter	die kalte Schulter + ZEIGEN	21	21	21	21	19	21 -> 19	20	21 -> 20			21	https://de.wiktionary.org/wiki/jemandem_die_kalte_Schulter_zeigen
jemandem die Laune verhageln	1482	1482	die Laune + verhag[el]		4	79 -> 4	4	79 -> 4							4	https://de.wiktionary.org/wiki/jemandem_die_Laune_verhageln
jemandem die Leviten lesen	1483	1483	die Leviten + LESEN		17	26 -> 17	17	26 -> 17							17	https://de.wiktionary.org/wiki/jemandem_die_Leviten_lesen
jemandem die Luft abdrehen	1484	1484	die Luft + \bab(\b|d|z|g) + dreh		1	1247 -> 70 -> 1	2	1247 -> 83 -> 2							1	https://de.wiktionary.org/wiki/jemandem_die_Luft_abdrehen
jemandem die Luft abdrücken	1485	1485	die Luft + \bab(\b|d|z|g) + drück		2	1247 -> 70 -> 2	3	1247 -> 83 -> 3							2	https://de.wiktionary.org/wiki/jemandem_die_Luft_abdr%C3%BCcken
jemandem die Löffel langziehen	1486	1486	die Löffel + \blang(\b|z|z|g) + _ZIEHEN		0	13 -> 0 -> 0	0	13 -> 0 -> 0							0	https://de.wiktionary.org/wiki/jemandem_die_L%C3%B6ffel_langziehen
jemandem die Ohren abkauen	1487	1487	die Ohren + \bab(\b|k|z|g) + KAUEN		1	312 -> 11 -> 1	1	312 -> 11 -> 1							1	https://de.wiktionary.org/wiki/jemandem_die_Ohren_abkauen
jemandem die Ohren langziehen	1488	1488	die Ohren + \blang(\b|z|z|g) + _ZIEHEN		0	312 -> 19 -> 0	0	312 -> 19 -> 0							0	https://de.wiktionary.org/wiki/jemandem_die_Ohren_langziehen
jemandem die Pistole auf die Brust setzen	1489	1489	die Pistole + auf die Brust + SETZEN		3	58 -> 3 -> 3	3	58 -> 3 -> 3							3	https://de.wiktionary.org/wiki/jemandem_die_Pistole_auf_die_Brust_setzen
jemandem die Schuld in die Schuhe schieben	1490	1490	die Schuld + in die Schuhe + SCHIEBEN		13	488 -> 13 -> 13	13	490 -> 13 -> 13							13	https://de.wiktionary.org/wiki/jemandem_die_Schuld_in_die_Schuhe_schieben
jemandem die Sprache rauben	1491	1491	die Sprache + raub		1	590 -> 1	1	591 -> 1							1	https://de.wiktionary.org/wiki/jemandem_die_Sprache_rauben
jemandem die Sprache verschlagen	1492	1492	die Sprache + VERSCHLAGEN		28	590 -> 28	28	591 -> 28							28	https://de.wiktionary.org/wiki/jemandem_die_Sprache_verschlagen
jemandem die Stange halten	1493	1493	die Stange + HALTEN		14	59 -> 14	14	59 -> 14							14	https://de.wiktionary.org/wiki/jemandem_die_Stange_halten
jemandem die Stiefel lecken	1494	1494	die Stiefel + LECKEN		0	17 -> 0	0	17 -> 0							0	https://de.wiktionary.org/wiki/jemandem_die_Stiefel_lecken
jemandem die Suppe versalzen	1495	1495	die Suppe + versalz		5	90 -> 5	5	90 -> 5							5	https://de.wiktionary.org/wiki/jemandem_die_Suppe_versalzen
jemandem die Worte in den Mund legen	1496	1496	die Worte + in den Mund + LEGEN		0	349 -> 1 -> 0	0	351 -> 1 -> 0							0	https://de.wiktionary.org/wiki/jemandem_die_Worte_in_den_Mund_legen
jemandem die Zeit stehlen	1497	1497	die Zeit + STEHLEN + MANUAL_REVIEW		2	3730 -> 2 -> 2	3	3804 -> 3 -> 3							2	https://de.wiktionary.org/wiki/jemandem_die_Zeit_stehlen
jemandem die Zunge lösen	1498	1498	die Zunge + LÖSEN		1	93 -> 1	1	93 -> 1							1	https://de.wiktionary.org/wiki/jemandem_die_Zunge_l%C3%B6sen
jemandem diesen Zahn ziehen	1499	1499	diesen Zahn + ZIEHEN		1	1 -> 1	1	1 -> 1							1	https://de.wiktionary.org/wiki/jemandem_diesen_Zahn_ziehen
jemandem dreht sich alles im Kreis	1500	1500	SICH + alles im Kreis + dreh		0	423766 -> 1 -> 0	1	423828 -> 1 -> 1							0	https://de.wiktionary.org/wiki/jemandem_dreht_sich_alles_im_Kreis
jemandem durch die Finger schlüpfen	1501	1501	durch die Finger + schlüpf		0	11 -> 0	0	11 -> 0							0	https://de.wiktionary.org/wiki/jemandem_durch_die_Finger_schl%C3%BCpfen
jemandem durch die Lappen gehen	1502	1502	durch die Lappen + GEHEN		22	22 -> 22	22	22 -> 22							22	https://de.wiktionary.org/wiki/jemandem_durch_die_Lappen_gehen
jemandem ein Buch mit sieben Siegeln sein	1503	1503	ein Buch + mit sieben Siegeln + SEIN		5	595 -> 6 -> 5	5	595 -> 6 -> 5							5	https://de.wiktionary.org/wiki/jemandem_ein_Buch_mit_sieben_Siegeln_sein
jemandem ein Dorn im Auge sein	1504	1504	ein Dorn im Auge		158	158	158	158							158	https://de.wiktionary.org/wiki/jemandem_ein_Dorn_im_Auge_sein
jemandem ein Kuckucksei ins Nest legen	1505	1505	ein Kuckucksei + ins Nest + LEGEN		0	0 -> 0 -> 0	0	0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/jemandem_ein_Kuckucksei_ins_Nest_legen
jemandem ein Ohr abkauen	1506	1506	ein Ohr + \bab(\b|k|z|g) + KAUEN		0	18 -> 7 -> 0	0	18 -> 7 -> 0							0	https://de.wiktionary.org/wiki/jemandem_ein_Ohr_abkauen
jemandem ein Ohr abreden	1507	1507	ein Ohr + \bab(\b|r|z|g) + _REDEN		0	18 -> 7 -> 0	0	18 -> 7 -> 0							0	https://de.wiktionary.org/wiki/jemandem_ein_Ohr_abreden
jemandem ein paar scheuern	1508	1508	ein paar + scheuer + MANUAL_REVIEW		0	5465 -> 0 -> 0	2	5903 -> 2 -> 2							0	https://de.wiktionary.org/wiki/jemandem_ein_paar_scheuern
jemandem ein Schnippchen schlagen	1509	1509	ein Schippchen + SCHLAGEN		0	1 -> 0	0	1 -> 0							0	https://de.wiktionary.org/wiki/jemandem_ein_Schnippchen_schlagen
jemandem ein X für ein U vormachen	1510	1510	ein X + für ein U \bvor(\b|m|z|g) + _MACHEN		2	18 -> 2 -> 2	2	25 -> 2 -> 2							2	https://de.wiktionary.org/wiki/jemandem_ein_X_f%C3%BCr_ein_U_vormachen
jemandem eine Abfuhr erteilen	1511	1511	eine Abfuhr + \berteil		12	24 -> 12	12	24 -> 12							12	https://de.wiktionary.org/wiki/jemandem_eine_Abfuhr_erteilen
jemandem eine auflegen	1512	1512	eine + \bauf(\b|l|z|g) + _LEGEN + MANUAL_REVIEW		2115	353413 -> 45012 -> 2115 -> 2115	2407	353427 -> 50584 -> 2407 -> 2407					1		1	https://de.wiktionary.org/wiki/jemandem_eine_auflegen
jemandem eine kleben	1513	1513	eine + kleb + MANUAL_REVIEW		161	353413 -> 161 -> 161	223	353427 -> 223 -> 223					1		1	https://de.wiktionary.org/wiki/jemandem_eine_kleben
jemandem eine scheuern	1514	1514	eine + scheuer + MANUAL_REVIEW		15	353413 -> 15 -> 15	32	353427 -> 32 -> 32					4		4	https://de.wiktionary.org/wiki/jemandem_eine_scheuern
jemandem einen Bären aufbinden	1515	1515	einen Bären + \bauf(\b|b|z|g) + _BINDEN		1	24 -> 9 -> 1	1	24 -> 9 -> 1							1	https://de.wiktionary.org/wiki/jemandem_einen_B%C3%A4ren_aufbinden
jemandem einen Bärendienst erweisen	1516	1516	einen Bärendienst + ERWEISEN		13	16 -> 13	14	16 -> 14							13	https://de.wiktionary.org/wiki/jemandem_einen_B%C3%A4rendienst_erweisen
jemandem einen Denkzettel geben	1517	1517	einen Denkzettel + GEBEN		1	12 -> 1	1	12 -> 1							1	https://de.wiktionary.org/wiki/jemandem_einen_Denkzettel_geben
jemandem einen Denkzettel verpassen	1518	1518	einen Denkzettel + verpass		9	12 -> 9	9	12 -> 9							9	https://de.wiktionary.org/wiki/jemandem_einen_Denkzettel_verpassen
jemandem einen Floh ins Ohr setzen	1519	1519	einen Floh ins Ohr + SETZEN		1	1 -> 1	1	1 -> 1							1	https://de.wiktionary.org/wiki/jemandem_einen_Floh_ins_Ohr_setzen
jemandem einen Korb geben	1520	1520	einen Korb + GEBEN		11	51 -> 11	11	51 -> 11							11	https://de.wiktionary.org/wiki/jemandem_einen_Korb_geben
jemandem einen Lichasdienst erweisen	1521	1521	einen Lichasdienst + ERWEISEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/jemandem_einen_Lichasdienst_erweisen
jemandem einen Maulkorb verpassen	1522	1522	einen Maulkorb + verpass		4	10 -> 4	4	10 -> 4							4	https://de.wiktionary.org/wiki/jemandem_einen_Maulkorb_verpassen
jemandem einen Strich durch die Rechnung machen	1523	1523	einen Strich + durch die Rechnung		113	129 -> 113	113	129 -> 113							113	https://de.wiktionary.org/wiki/jemandem_einen_Strich_durch_die_Rechnung_machen
jemandem einen Strick aus etwas drehen	1524	1524	einen Strick + aus + dreh		4	7 -> 4 -> 4	4	7 -> 4 -> 4							4	https://de.wiktionary.org/wiki/jemandem_einen_Strick_aus_etwas_drehen
jemandem einen Vogel zeigen	1525	1525	einen Vogel + ZEIGEN		1	27 -> 1	1	27 -> 1							1	https://de.wiktionary.org/wiki/jemandem_einen_Vogel_zeigen
jemandem eins auswischen	1526	1526	eins + \baus(\b|w|z|g) + wisch		16	3007 -> 267 -> 16	16	3016 -> 311 -> 16							16	https://de.wiktionary.org/wiki/jemandem_eins_auswischen
jemandem etwas aufs Auge drücken	1527	1527	aufs Auge + drück		6	15 -> 6	6	15 -> 6							6	https://de.wiktionary.org/wiki/jemandem_etwas_aufs_Auge_dr%C3%BCcken
jemandem etwas aus der Nase ziehen	1528	1528	aus der Nase + ZIEHEN		2	10 -> 2	2	10 -> 2							2	https://de.wiktionary.org/wiki/jemandem_etwas_aus_der_Nase_ziehen
jemandem etwas hoch anrechnen	1529	1529	hoch + \ban(\b|r|z|g) + rechn		30	8524 -> 768 -> 30	33	8526 -> 929 -> 33							30	https://de.wiktionary.org/wiki/jemandem_etwas_hoch_anrechnen
jemandem etwas in die Schuhe schieben	1530	1530	in die Schuhe + SCHIEBEN		39	45 -> 39	39	45 -> 39							39	https://de.wiktionary.org/wiki/jemandem_etwas_in_die_Schuhe_schieben
jemandem etwas mit gleicher Münze heimzahlen	1531	1531	Münze + gleich + zahl		0	323 -> 1 -> 0	0	323 -> 1 -> 0							0	https://de.wiktionary.org/wiki/jemandem_etwas_mit_gleicher_M%C3%BCnze_heimzahlen
jemandem fehlen die Worte	1532	1532	die Worte + fehl		53	349 -> 53	56	351 -> 56							53	https://de.wiktionary.org/wiki/jemandem_fehlen_die_Worte
jemandem Feuer unterm Arsch machen	1533	1533	Feuer (unterm|unter dem) Arsch + MACHEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/jemandem_Feuer_unterm_Arsch_machen
jemandem Feuer unterm Hintern machen	1534	1534	Feuer (unterm|unter dem) Hintern + MACHEN		1	1 -> 1	1	1 -> 1							1	https://de.wiktionary.org/wiki/jemandem_Feuer_unterm_Hintern_machen
jemandem Flötentöne beibringen	1535	1535	Flötentöne + \bbei(\b|b|z|g) + _BRINGEN		0	3 -> 0 -> 0	0	3 -> 0 -> 0							0	https://de.wiktionary.org/wiki/jemandem_Fl%C3%B6tent%C3%B6ne_beibringen
jemandem fällt das Monokel in den Kakao	1536	1536	das Monokel + in den Kakao + FALLEN		0	0 -> 0 -> 0	0	0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/jemandem_f%C3%A4llt_das_Monokel_in_den_Kakao
jemandem fällt die Decke auf den Kopf	1537	1537	die Decken auf den Kopf + FALLEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/jemandem_f%C3%A4llt_die_Decke_auf_den_Kopf
jemandem fällt ein Stein vom Herzen	1538	1538	ein Stein + vom Herzen + FALLEN		15	111 -> 15 -> 15	15	111 -> 15 -> 15							15	https://de.wiktionary.org/wiki/jemandem_f%C3%A4llt_ein_Stein_vom_Herzen
jemandem gegen den Strich gehen	1539	1539	gegen den Strich + GEHEN		20	28 -> 20	20	28 -> 20							20	https://de.wiktionary.org/wiki/jemandem_gegen_den_Strich_gehen
jemandem geht das Messer im Sack auf	1540	1540	das Messer + im Sack + \bauf(\b|g|z) + _GEHEN		0	132 -> 0 -> 0 -> 0	0	132 -> 0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/jemandem_geht_das_Messer_im_Sack_auf
jemandem geht das Messer in der Hose auf	1541	1541	das Messer + in der Hose + \bauf(\b|g|z) + _GEHEN		0	132 -> 0 -> 0 -> 0	0	132 -> 0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/jemandem_geht_das_Messer_in_der_Hose_auf
jemandem geht das Messer in der Tasche auf	1542	1542	das Messer + in der Tasche + \bauf(g|\b) + _GEHEN		0	132 -> 0 -> 0 -> 0	0	132 -> 0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/jemandem_geht_das_Messer_in_der_Tasche_auf
jemandem geht der Arsch auf Grundeis	1543	1543	der Arsch auf Grundeis + GEHEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/jemandem_geht_der_Arsch_auf_Grundeis
jemandem geht der Hut hoch	1544	1544	der Hut + \bhoch(\b|z|g) + _GEHEN		4	111 -> 4 -> 4	4	112 -> 4 -> 4							4	https://de.wiktionary.org/wiki/jemandem_geht_der_Hut_hoch
jemandem geht einer ab	1545	1545	einer + \bab(\b|z|g) + _GEHEN		353	159373 -> 4864 -> 353	457	159378 -> 5756 -> 457					1	Filter by '\beiner ab\b', then manually check.	1	https://de.wiktionary.org/wiki/jemandem_geht_einer_ab
